Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Kansas,Goodland,4,15,2017,65.7
North America,US,Pennsylvania,Pittsburgh,7,21,2000,66.3
Africa,Nigeria,,Niamey,1,3,2012,75.1
North America,US,Kansas,Goodland,8,24,2017,71.6
North America,US,Alabama,Montgomery,9,30,2003,60.8
Asia,India,,Bombay (Mumbai),7,16,2001,81.9
Australia/South Pacific,Australia,,Sydney,11,15,2019,54.2
South/Central America & Carribean,Honduras,,Tegucigalpa,4,6,2001,73.9
North America,US,Florida,Jacksonville,8,25,2019,80.7
North America,US,Texas,San Antonio,11,11,1996,63.5
North America,US,Kansas,Topeka,2,27,2001,28.8
North America,US,Arkansas,Fort Smith,9,8,2008,76.0
South/Central America & Carribean,Belize,,Belize City,6,25,2015,81.5
North America,US,Connecticut,Hartford Springfield,12,23,2001,27.6
South/Central America & Carribean,Cuba,,Havana,4,29,2015,81.0
North America,US,Florida,Miami Beach,12,14,2001,77.4
Africa,Tunisia,,Tunis,9,18,1995,82.2
North America,US,Illinois,Rockford,12,13,2017,26.4
South/Central America & Carribean,Costa Rica,,San Jose,7,8,2019,71.9
North America,US,District of Columbia,Washington,1,1,1997,34.8
Africa,Guinea-Bissau,,Bissau,3,22,1997,-99.0
Europe,United Kingdom,,London,7,9,2019,67.3
North America,US,Texas,Wichita Falls,12,25,2017,32.2
North America,Canada,,Winnipeg,3,17,2005,9.7
North America,US,West Virginia,Charleston,11,21,2002,48.7
North America,US,Pennsylvania,Allentown,1,2,2019,40.2
North America,US,Illinois,Peoria,11,24,2014,41.0
Australia/South Pacific,Australia,,Brisbane,6,23,2013,58.6
Africa,Gabon,,Libreville,5,5,2008,83.3
Asia,Laos,,Vientiane,8,4,2003,84.8
North America,US,Maryland,Baltimore,11,14,2012,39.3
North America,US,Pennsylvania,Pittsburgh,10,3,2016,59.3
North America,US,Kentucky,Paducah,5,29,2006,79.8
Europe,Bulgaria,,Sofia,6,18,2007,72.8
North America,US,North Carolina,Greensboro,4,16,2009,53.2
Africa,Nigeria,,Niamey,1,17,2012,72.3
Middle East,United Arab Emirates,,Abu Dhabi,10,14,2017,87.0
Asia,Japan,,Tokyo,3,25,2010,44.1
Africa,Congo,,Brazzaville,4,18,2002,79.8
North America,Canada,,Toronto,3,28,2013,38.1
North America,US,Florida,Daytona Beach,1,9,2002,42.7
North America,US,Ohio,Youngstown,11,18,2011,32.9
North America,US,South Carolina,Charleston,12,15,2000,53.6
North America,US,Pennsylvania,Pittsburgh,5,16,2001,53.6
Australia/South Pacific,Australia,,Sydney,10,1,2002,61.5
North America,US,Ohio,Cincinnati,2,18,2005,27.9
Asia,Nepal,,Katmandu,8,30,2015,76.8
Africa,Mauritania,,Nouakchott,5,3,2014,69.0
Africa,Benin,,Cotonou,12,10,2015,81.3
Europe,Switzerland,,Zurich,3,12,2010,28.4
Asia,Nepal,,Katmandu,4,25,1996,57.6
Europe,Macedonia,,Skopje,12,3,2018,31.9
North America,US,Alaska,Fairbanks,10,2,1997,32.6
North America,US,Vermont,Burlington,9,19,2015,75.3
Australia/South Pacific,Australia,,Brisbane,12,13,2015,70.4
North America,US,Louisiana,New Orleans,5,21,2004,77.2
North America,US,Tennessee,Nashville,8,8,2004,72.9
Asia,Uzbekistan,,Tashkent,4,4,2013,56.2
North America,US,Illinois,Peoria,3,24,2016,50.1
North America,US,Ohio,Youngstown,6,16,2009,65.8
North America,US,Missouri,St Louis,5,1,2004,55.9
North America,US,Nebraska,North Platte,3,12,2014,36.7
South/Central America & Carribean,Suriname,,Paramaribo,1,30,2018,79.4
South/Central America & Carribean,Brazil,,Brasilia,5,30,2005,66.5
Asia,Japan,,Sapporo,9,19,2017,63.8
Europe,Spain,,Barcelona,5,13,1996,58.4
North America,Canada,,Regina,10,12,2002,31.1
North America,US,Louisiana,Lake Charles,8,28,2008,83.2
North America,US,Iowa,Des Moines,1,24,2010,34.2
North America,US,Maryland,Baltimore,12,27,2015,55.7
Asia,Nepal,,Katmandu,5,7,2013,71.7
North America,US,Kansas,Wichita,10,11,2004,55.4
Asia,Thailand,,Bangkok,5,14,2004,84.6
Europe,Ukraine,,Kiev,12,17,1998,33.3
South/Central America & Carribean,Bolivia,,La Paz,5,21,2017,45.2
Africa,Kenya,,Nairobi,3,20,1999,67.6
Middle East,Kuwait,,Kuwait,7,16,2008,102.2
South/Central America & Carribean,Guyana,,Georgetown,11,2,1996,-99.0
North America,US,Alaska,Anchorage,11,21,2003,21.5
North America,US,North Dakota,Bismarck,2,18,2012,22.8
Asia,Turkmenistan,,Ashabad,3,25,2019,56.8
North America,Canada,,Edmonton,9,12,2011,49.9
Middle East,Lebanon,,Beirut,3,21,2004,60.5
North America,Canada,,Edmonton,5,9,2013,62.0
North America,US,Texas,San Angelo,12,29,2017,41.7
Africa,Uganda,,Kampala,11,7,2019,71.7
North America,US,Kentucky,Lexington,4,2,2020,47.1
Europe,Germany,,Hamburg,4,24,2008,58.5
North America,US,Pennsylvania,Philadelphia,7,12,2014,79.0
South/Central America & Carribean,Venezuela,,Caracas,8,1,2014,82.6
North America,US,Additional Territories,San Juan Puerto Rico,11,14,1995,81.1
North America,US,District of Columbia,Washington,1,20,2004,25.5
Africa,Sierra Leone,,Freetown,2,25,2010,-99.0
Europe,Romania,,Bucharest,3,8,2014,41.5
Asia,China,,Chengdu,3,11,2017,53.3
North America,US,Louisiana,New Orleans,7,1,1999,83.7
North America,US,Maryland,Baltimore,8,25,2009,74.2
North America,Mexico,,Monterrey,5,19,2004,83.3
North America,US,Washington,Yakima,6,10,2002,60.7
North America,US,New York,Rochester,6,6,2019,62.8
Asia,China,,Chengdu,10,27,2012,68.8
North America,US,New York,Albany,6,24,2014,72.3
South/Central America & Carribean,Suriname,,Paramaribo,1,4,2018,-99.0
North America,US,Colorado,Denver,6,26,2008,78.1
Europe,Italy,,Milan,11,18,2006,52.4
North America,Canada,,Calgary,5,26,2001,58.0
North America,US,Illinois,Springfield,1,9,2010,3.8
Europe,Hungary,,Budapest,4,11,2014,50.2
North America,US,Indiana,Evansville,3,12,2005,44.3
North America,US,Alaska,Fairbanks,12,23,2004,16.4
North America,US,Michigan,Sault Ste Marie,5,8,1999,52.4
North America,US,Pennsylvania,Wilkes Barre,7,1,1999,71.7
Middle East,Jordan,,Amman,8,19,2011,77.8
North America,US,Wisconsin,Green Bay,3,21,2000,41.2
North America,US,North Carolina,Raleigh Durham,5,18,2019,76.8
Europe,Belgium,,Brussels,3,13,1997,49.8
Europe,Belarus,,Minsk,7,14,1999,78.1
North America,US,Florida,Orlando,3,27,2008,64.5
Africa,Algeria,,Algiers,12,28,2009,53.1
North America,US,Texas,Waco,11,25,2000,53.1
Europe,Sweden,,Stockholm,7,13,1995,70.7
North America,US,Pennsylvania,Allentown,7,23,2003,72.9
Europe,France,,Bordeaux,4,18,2019,60.9
Europe,Switzerland,,Bern,11,27,2009,42.3
Africa,Guinea,,Conakry,1,21,2013,86.3
North America,US,District of Columbia,Washington,9,12,2007,72.7
Europe,Finland,,Helsinki,4,17,2000,43.3
North America,US,District of Columbia,Washington,10,3,2011,49.8
Europe,Serbia-Montenegro,,Pristina,9,22,2001,64.9
North America,US,Nevada,Reno,9,22,2003,71.1
North America,US,Texas,Lubbock,1,21,2016,45.6
North America,US,California,Fresno,11,28,2019,44.8
North America,US,Michigan,Grand Rapids,11,8,2013,38.8
Europe,Norway,,Oslo,2,3,2002,38.9
North America,US,Maryland,Baltimore,6,3,2008,69.3
Asia,China,,Shenyang,7,16,2002,73.3
Middle East,Saudi Arabia,,Dhahran,10,20,2012,83.1
North America,US,North Dakota,Fargo,7,30,2013,68.5
Asia,India,,Bombay (Mumbai),4,7,2004,81.6
